iter	Passed	Remaining
0	1	1725
1	3	1614
2	4	1490
3	5	1446
4	7	1460
5	18	3062
6	19	2815
7	21	2610
8	24	2644
9	25	2534
10	26	2412
11	28	2311
12	29	2221
13	30	2153
14	32	2127
15	33	2074
16	35	2028
17	36	1976
18	37	1956
19	39	1927
20	40	1900
21	42	1869
22	43	1836
23	44	1814
24	46	1796
25	47	1770
26	48	1743
27	51	1771
28	52	1769
29	54	1757
30	57	1783
31	58	1763
32	59	1752
33	61	1739
34	62	1717
35	63	1701
36	64	1681
37	66	1672
38	67	1663
39	68	1652
40	70	1640
41	71	1628
42	72	1615
43	73	1602
44	74	1589
45	76	1582
46	77	1577
47	78	1564
48	80	1552
49	81	1543
50	83	1555
51	85	1554
52	86	1545
53	88	1541
54	89	1535
55	90	1525
56	91	1516
57	92	1505
58	93	1495
59	94	1485
60	95	1476
61	97	1470
62	98	1465
63	99	1460
64	101	1455
65	102	1452
66	104	1448
67	105	1446
68	106	1438
69	107	1432
70	109	1426
71	109	1416
72	111	1412
73	112	1408
74	113	1404
75	115	1401
76	116	1397
77	118	1395
78	119	1394
79	121	1392
80	122	1385
81	123	1381
82	124	1370
83	125	1363
84	126	1361
85	127	1356
86	128	1351
87	129	1345
88	130	1339
89	131	1333
90	132	1328
91	133	1322
92	135	1317
93	136	1314
94	137	1310
95	138	1306
96	140	1306
97	141	1305
98	143	1303
99	144	1298
100	145	1296
101	146	1293
102	148	1290
103	149	1286
104	150	1282
105	151	1280
106	153	1277
107	154	1276
108	156	1277
109	157	1276
110	158	1271
111	160	1269
112	161	1265
113	162	1262
114	163	1258
115	164	1256
116	165	1251
117	166	1248
118	168	1243
119	169	1241
120	170	1241
121	171	1237
122	173	1236
123	174	1234
124	175	1230
125	177	1229
126	178	1225
127	179	1224
128	180	1220
129	182	1219
130	183	1215
131	184	1215
132	186	1215
133	187	1213
134	188	1210
135	190	1210
136	191	1206
137	192	1203
138	193	1200
139	195	1198
140	196	1195
141	197	1190
142	198	1192
143	200	1190
144	201	1187
145	203	1188
146	204	1185
147	205	1182
148	206	1179
149	207	1176
150	209	1176
151	210	1174
152	211	1172
153	212	1169
154	215	1172
155	216	1173
156	217	1170
157	219	1167
158	220	1165
159	221	1162
160	222	1158
161	223	1155
162	224	1153
163	225	1151
164	226	1148
165	228	1149
166	230	1147
167	231	1145
168	232	1142
169	233	1140
170	234	1138
171	236	1136
172	237	1134
173	238	1131
174	239	1128
175	240	1124
176	241	1122
177	244	1130
178	246	1128
179	247	1126
180	248	1125
181	249	1122
182	251	1120
183	252	1120
184	253	1117
185	254	1115
186	255	1112
187	257	1112
188	258	1111
189	260	1110
190	261	1109
191	263	1107
192	264	1105
193	265	1102
194	266	1101
195	268	1099
196	269	1098
197	270	1096
198	272	1095
199	273	1095
200	276	1098
201	277	1095
202	278	1094
203	279	1092
204	281	1090
205	282	1087
206	283	1084
207	284	1082
208	285	1080
209	287	1081
